word,word_len,word_upper,word_lower,word_digits,line_symbolic_percent,line_space_percent,line_num_world,line_num_columns,line_front_spaces_perc,line_back_spaces
Implementing,12,0.08333333333333333,0.9166666666666666,0.0,0.4608695652173913,0.5391304347826087,9,1,0.27835051546391754,0.4072164948453608
CUDA,4,1.0,0.0,0.0,0.4608695652173913,0.5391304347826087,9,1,0.27835051546391754,0.4072164948453608
Streams,7,0.14285714285714285,0.8571428571428571,0.0,0.4608695652173913,0.5391304347826087,9,1,0.27835051546391754,0.4072164948453608
into,4,0.0,1.0,0.0,0.4608695652173913,0.5391304347826087,9,1,0.27835051546391754,0.4072164948453608
AstroAccelerate,15,0.13333333333333333,0.8666666666666667,0.0,0.4608695652173913,0.5391304347826087,9,1,0.27835051546391754,0.4072164948453608
–,1,0.0,0.0,0.0,0.4608695652173913,0.5391304347826087,9,1,0.27835051546391754,0.4072164948453608
A,1,1.0,0.0,0.0,0.4608695652173913,0.5391304347826087,9,1,0.27835051546391754,0.4072164948453608
Case,4,0.25,0.75,0.0,0.4608695652173913,0.5391304347826087,9,1,0.27835051546391754,0.4072164948453608
Study,5,0.2,0.8,0.0,0.4608695652173913,0.5391304347826087,9,1,0.27835051546391754,0.4072164948453608
Jan,3,0.3333333333333333,0.6666666666666666,0.0,0.352,0.648,9,1,0.37628865979381443,0.35567010309278346
"Novotný1,3",11,0.09090909090909091,0.5454545454545454,0.18181818181818182,0.352,0.648,9,1,0.37628865979381443,0.35567010309278346
",",1,0.0,0.0,0.0,0.352,0.648,9,1,0.37628865979381443,0.35567010309278346
Karel,5,0.2,0.8,0.0,0.352,0.648,9,1,0.37628865979381443,0.35567010309278346
"Adámek1,2",10,0.1,0.5,0.2,0.352,0.648,9,1,0.37628865979381443,0.35567010309278346
",",1,0.0,0.0,0.0,0.352,0.648,9,1,0.37628865979381443,0.35567010309278346
and,3,0.0,1.0,0.0,0.352,0.648,9,1,0.37628865979381443,0.35567010309278346
Wes,3,0.3333333333333333,0.6666666666666666,0.0,0.352,0.648,9,1,0.37628865979381443,0.35567010309278346
Armour1,7,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.352,0.648,9,1,0.37628865979381443,0.35567010309278346
1,1,0.0,0.0,1.0,0.0196078431372549,0.9803921568627451,1,1,0.25773195876288657,0.7371134020618557
Oxford,6,0.16666666666666666,0.8333333333333334,0.0,0.5694444444444444,0.4305555555555556,13,1,0.25773195876288657,0.25773195876288657
e-Research,10,0.1,0.8,0.0,0.5694444444444444,0.4305555555555556,13,1,0.25773195876288657,0.25773195876288657
"Centre,",7,0.14285714285714285,0.7142857142857143,0.0,0.5694444444444444,0.4305555555555556,13,1,0.25773195876288657,0.25773195876288657
Department,10,0.1,0.9,0.0,0.5694444444444444,0.4305555555555556,13,1,0.25773195876288657,0.25773195876288657
of,2,0.0,1.0,0.0,0.5694444444444444,0.4305555555555556,13,1,0.25773195876288657,0.25773195876288657
Engineering,11,0.09090909090909091,0.9090909090909091,0.0,0.5694444444444444,0.4305555555555556,13,1,0.25773195876288657,0.25773195876288657
"Science,",8,0.125,0.75,0.0,0.5694444444444444,0.4305555555555556,13,1,0.25773195876288657,0.25773195876288657
University,10,0.1,0.9,0.0,0.5694444444444444,0.4305555555555556,13,1,0.25773195876288657,0.25773195876288657
of,2,0.0,1.0,0.0,0.5694444444444444,0.4305555555555556,13,1,0.25773195876288657,0.25773195876288657
"Oxford,",7,0.14285714285714285,0.7142857142857143,0.0,0.5694444444444444,0.4305555555555556,13,1,0.25773195876288657,0.25773195876288657
7,1,0.0,0.0,1.0,0.5694444444444444,0.4305555555555556,13,1,0.25773195876288657,0.25773195876288657
Keble,5,0.2,0.8,0.0,0.5694444444444444,0.4305555555555556,13,1,0.25773195876288657,0.25773195876288657
"Rd,",3,0.3333333333333333,0.3333333333333333,0.0,0.5694444444444444,0.4305555555555556,13,1,0.25773195876288657,0.25773195876288657
Oxford,6,0.16666666666666666,0.8333333333333334,0.0,0.24324324324324326,0.7567567567567568,5,1,0.41237113402061853,0.4278350515463918
OX1,3,0.6666666666666666,0.0,0.3333333333333333,0.24324324324324326,0.7567567567567568,5,1,0.41237113402061853,0.4278350515463918
"3QG,",4,0.5,0.0,0.25,0.24324324324324326,0.7567567567567568,5,1,0.41237113402061853,0.4278350515463918
United,6,0.16666666666666666,0.8333333333333334,0.0,0.24324324324324326,0.7567567567567568,5,1,0.41237113402061853,0.4278350515463918
Kingdom.,8,0.125,0.75,0.0,0.24324324324324326,0.7567567567567568,5,1,0.41237113402061853,0.4278350515463918
2,1,0.0,0.0,1.0,0.020833333333333332,0.9791666666666666,1,1,0.2422680412371134,0.7525773195876289
Faculty,7,0.14285714285714285,0.8571428571428571,0.0,0.5850340136054422,0.41496598639455784,13,1,0.25257731958762886,0.24226804123711343
of,2,0.0,1.0,0.0,0.5850340136054422,0.41496598639455784,13,1,0.25257731958762886,0.24226804123711343
Information,11,0.09090909090909091,0.9090909090909091,0.0,0.5850340136054422,0.41496598639455784,13,1,0.25257731958762886,0.24226804123711343
"Technology,",11,0.09090909090909091,0.8181818181818182,0.0,0.5850340136054422,0.41496598639455784,13,1,0.25257731958762886,0.24226804123711343
Czech,5,0.2,0.8,0.0,0.5850340136054422,0.41496598639455784,13,1,0.25257731958762886,0.24226804123711343
Technical,9,0.1111111111111111,0.8888888888888888,0.0,0.5850340136054422,0.41496598639455784,13,1,0.25257731958762886,0.24226804123711343
"University,",11,0.09090909090909091,0.8181818181818182,0.0,0.5850340136054422,0.41496598639455784,13,1,0.25257731958762886,0.24226804123711343
Thákurova,10,0.1,0.8,0.0,0.5850340136054422,0.41496598639455784,13,1,0.25257731958762886,0.24226804123711343
"9,",2,0.0,0.0,0.5,0.5850340136054422,0.41496598639455784,13,1,0.25257731958762886,0.24226804123711343
160,3,0.0,0.0,1.0,0.5850340136054422,0.41496598639455784,13,1,0.25257731958762886,0.24226804123711343
"00,",3,0.0,0.0,0.6666666666666666,0.5850340136054422,0.41496598639455784,13,1,0.25257731958762886,0.24226804123711343
"Prague,",7,0.14285714285714285,0.7142857142857143,0.0,0.5850340136054422,0.41496598639455784,13,1,0.25257731958762886,0.24226804123711343
Czech,5,0.2,0.8,0.0,0.5850340136054422,0.41496598639455784,13,1,0.25257731958762886,0.24226804123711343
arXiv:2101.00941v3,18,0.05555555555555555,0.2777777777777778,0.5555555555555556,0.9069767441860465,0.09302325581395354,5,1,0.0,0.7783505154639175
[astro-ph.IM],13,0.15384615384615385,0.5384615384615384,0.0,0.9069767441860465,0.09302325581395354,5,1,0.0,0.7783505154639175
6,1,0.0,0.0,1.0,0.9069767441860465,0.09302325581395354,5,1,0.0,0.7783505154639175
May,3,0.3333333333333333,0.6666666666666666,0.0,0.9069767441860465,0.09302325581395354,5,1,0.0,0.7783505154639175
2021,4,0.0,0.0,1.0,0.9069767441860465,0.09302325581395354,5,1,0.0,0.7783505154639175
Republic.,9,0.1111111111111111,0.7777777777777778,0.0,0.08823529411764706,0.9117647058823529,1,1,0.4793814432989691,0.4742268041237113
3,1,0.0,0.0,1.0,0.02127659574468085,0.9787234042553191,1,1,0.23711340206185566,0.7577319587628866
Research,8,0.125,0.875,0.0,0.6,0.4,13,1,0.24742268041237114,0.22680412371134018
Centre,6,0.16666666666666666,0.8333333333333334,0.0,0.6,0.4,13,1,0.24742268041237114,0.22680412371134018
for,3,0.0,1.0,0.0,0.6,0.4,13,1,0.24742268041237114,0.22680412371134018
Theoretical,11,0.09090909090909091,0.9090909090909091,0.0,0.6,0.4,13,1,0.24742268041237114,0.22680412371134018
Physics,7,0.14285714285714285,0.8571428571428571,0.0,0.6,0.4,13,1,0.24742268041237114,0.22680412371134018
and,3,0.0,1.0,0.0,0.6,0.4,13,1,0.24742268041237114,0.22680412371134018
"Astrophysics,",13,0.07692307692307693,0.8461538461538461,0.0,0.6,0.4,13,1,0.24742268041237114,0.22680412371134018
Institute,9,0.1111111111111111,0.8888888888888888,0.0,0.6,0.4,13,1,0.24742268041237114,0.22680412371134018
of,2,0.0,1.0,0.0,0.6,0.4,13,1,0.24742268041237114,0.22680412371134018
"Physics,",8,0.125,0.75,0.0,0.6,0.4,13,1,0.24742268041237114,0.22680412371134018
Silesian,8,0.125,0.875,0.0,0.6,0.4,13,1,0.24742268041237114,0.22680412371134018
University,10,0.1,0.9,0.0,0.6,0.4,13,1,0.24742268041237114,0.22680412371134018
in,2,0.0,1.0,0.0,0.6,0.4,13,1,0.24742268041237114,0.22680412371134018
"Opava,",6,0.16666666666666666,0.6666666666666666,0.0,0.4126984126984127,0.5873015873015873,8,1,0.34536082474226804,0.35051546391752575
Bezručovo,10,0.1,0.8,0.0,0.4126984126984127,0.5873015873015873,8,1,0.34536082474226804,0.35051546391752575
nám.,5,0.0,0.6,0.0,0.4126984126984127,0.5873015873015873,8,1,0.34536082474226804,0.35051546391752575
"13,",3,0.0,0.0,0.6666666666666666,0.4126984126984127,0.5873015873015873,8,1,0.34536082474226804,0.35051546391752575
CZ-74601,8,0.25,0.0,0.625,0.4126984126984127,0.5873015873015873,8,1,0.34536082474226804,0.35051546391752575
