word,word_len,word_upper,word_lower,word_digits,line_symbolic_percent,line_space_percent,line_num_world,line_num_columns,line_front_spaces_perc,line_back_spaces
MNRAS,5,1.0,0.0,0.0,0.38144329896907214,0.6185567010309279,15,32,0.2358974358974359,0.00512820512820511
"000,",4,0.0,0.0,0.75,0.38144329896907214,0.6185567010309279,15,32,0.2358974358974359,0.00512820512820511
1–9,3,0.0,0.0,0.6666666666666666,0.38144329896907214,0.6185567010309279,15,32,0.2358974358974359,0.00512820512820511
(2020),6,0.0,0.0,0.6666666666666666,0.38144329896907214,0.6185567010309279,15,32,0.2358974358974359,0.00512820512820511
Preprint,8,0.125,0.875,0.0,0.38144329896907214,0.6185567010309279,15,32,0.2358974358974359,0.00512820512820511
5,1,0.0,0.0,1.0,0.38144329896907214,0.6185567010309279,15,32,0.2358974358974359,0.00512820512820511
January,7,0.14285714285714285,0.8571428571428571,0.0,0.38144329896907214,0.6185567010309279,15,32,0.2358974358974359,0.00512820512820511
2021,4,0.0,0.0,1.0,0.38144329896907214,0.6185567010309279,15,32,0.2358974358974359,0.00512820512820511
Compiled,8,0.125,0.875,0.0,0.38144329896907214,0.6185567010309279,15,32,0.2358974358974359,0.00512820512820511
using,5,0.0,1.0,0.0,0.38144329896907214,0.6185567010309279,15,32,0.2358974358974359,0.00512820512820511
MNRAS,5,1.0,0.0,0.0,0.38144329896907214,0.6185567010309279,15,32,0.2358974358974359,0.00512820512820511
LATEX,5,1.0,0.0,0.0,0.38144329896907214,0.6185567010309279,15,32,0.2358974358974359,0.00512820512820511
style,5,0.0,1.0,0.0,0.38144329896907214,0.6185567010309279,15,32,0.2358974358974359,0.00512820512820511
file,4,0.0,1.0,0.0,0.38144329896907214,0.6185567010309279,15,32,0.2358974358974359,0.00512820512820511
v3.0,4,0.0,0.25,0.5,0.38144329896907214,0.6185567010309279,15,32,0.2358974358974359,0.00512820512820511
Magnetic,8,0.125,0.875,0.0,0.5046728971962616,0.4953271028037384,8,1,0.2358974358974359,0.45128205128205123
field,5,0.0,1.0,0.0,0.5046728971962616,0.4953271028037384,8,1,0.2358974358974359,0.45128205128205123
geometry,8,0.0,1.0,0.0,0.5046728971962616,0.4953271028037384,8,1,0.2358974358974359,0.45128205128205123
and,3,0.0,1.0,0.0,0.5046728971962616,0.4953271028037384,8,1,0.2358974358974359,0.45128205128205123
magnetospheric,14,0.0,1.0,0.0,0.5046728971962616,0.4953271028037384,8,1,0.2358974358974359,0.45128205128205123
environment,11,0.0,1.0,0.0,0.5046728971962616,0.4953271028037384,8,1,0.2358974358974359,0.45128205128205123
of,2,0.0,1.0,0.0,0.5046728971962616,0.4953271028037384,8,1,0.2358974358974359,0.45128205128205123
the,3,0.0,1.0,0.0,0.5046728971962616,0.4953271028037384,8,1,0.2358974358974359,0.45128205128205123
