word,word_len,word_upper,word_lower,word_digits,line_symbolic_percent,line_space_percent,line_num_world,line_num_columns,line_front_spaces_perc,line_back_spaces
MNRAS,5,1.0,0.0,0.0,0.35609756097560974,0.6439024390243903,15,35,0.24880382775119617,0.019138755980861233
"000,",4,0.0,0.0,0.75,0.35609756097560974,0.6439024390243903,15,35,0.24880382775119617,0.019138755980861233
1–17,4,0.0,0.0,0.75,0.35609756097560974,0.6439024390243903,15,35,0.24880382775119617,0.019138755980861233
(2021),6,0.0,0.0,0.6666666666666666,0.35609756097560974,0.6439024390243903,15,35,0.24880382775119617,0.019138755980861233
Preprint,8,0.125,0.875,0.0,0.35609756097560974,0.6439024390243903,15,35,0.24880382775119617,0.019138755980861233
29,2,0.0,0.0,1.0,0.35609756097560974,0.6439024390243903,15,35,0.24880382775119617,0.019138755980861233
June,4,0.25,0.75,0.0,0.35609756097560974,0.6439024390243903,15,35,0.24880382775119617,0.019138755980861233
2021,4,0.0,0.0,1.0,0.35609756097560974,0.6439024390243903,15,35,0.24880382775119617,0.019138755980861233
Compiled,8,0.125,0.875,0.0,0.35609756097560974,0.6439024390243903,15,35,0.24880382775119617,0.019138755980861233
using,5,0.0,1.0,0.0,0.35609756097560974,0.6439024390243903,15,35,0.24880382775119617,0.019138755980861233
MNRAS,5,1.0,0.0,0.0,0.35609756097560974,0.6439024390243903,15,35,0.24880382775119617,0.019138755980861233
LATEX,5,1.0,0.0,0.0,0.35609756097560974,0.6439024390243903,15,35,0.24880382775119617,0.019138755980861233
style,5,0.0,1.0,0.0,0.35609756097560974,0.6439024390243903,15,35,0.24880382775119617,0.019138755980861233
file,4,0.0,1.0,0.0,0.35609756097560974,0.6439024390243903,15,35,0.24880382775119617,0.019138755980861233
v3.0,4,0.0,0.25,0.5,0.35609756097560974,0.6439024390243903,15,35,0.24880382775119617,0.019138755980861233
Dissipation,11,0.09090909090909091,0.9090909090909091,0.0,0.3978494623655914,0.6021505376344086,5,1,0.24880382775119617,0.5550239234449761
in,2,0.0,1.0,0.0,0.3978494623655914,0.6021505376344086,5,1,0.24880382775119617,0.5550239234449761
weakly,6,0.0,1.0,0.0,0.3978494623655914,0.6021505376344086,5,1,0.24880382775119617,0.5550239234449761
collisional,11,0.0,1.0,0.0,0.3978494623655914,0.6021505376344086,5,1,0.24880382775119617,0.5550239234449761
plasmas,7,0.0,1.0,0.0,0.3978494623655914,0.6021505376344086,5,1,0.24880382775119617,0.5550239234449761
O.,2,0.5,0.0,0.0,0.430622009569378,0.569377990430622,33,19,0.24880382775119617,0.0
Pezzi,5,0.2,0.8,0.0,0.430622009569378,0.569377990430622,33,19,0.24880382775119617,0.0
ID,2,1.0,0.0,0.0,0.430622009569378,0.569377990430622,33,19,0.24880382775119617,0.0
"1,2,3★",6,0.0,0.0,0.5,0.430622009569378,0.569377990430622,33,19,0.24880382775119617,0.0
",",1,0.0,0.0,0.0,0.430622009569378,0.569377990430622,33,19,0.24880382775119617,0.0
H.,2,0.5,0.0,0.0,0.430622009569378,0.569377990430622,33,19,0.24880382775119617,0.0
Liang,5,0.2,0.8,0.0,0.430622009569378,0.569377990430622,33,19,0.24880382775119617,0.0
ID,2,1.0,0.0,0.0,0.430622009569378,0.569377990430622,33,19,0.24880382775119617,0.0
4,1,0.0,0.0,1.0,0.430622009569378,0.569377990430622,33,19,0.24880382775119617,0.0
",",1,0.0,0.0,0.0,0.430622009569378,0.569377990430622,33,19,0.24880382775119617,0.0
J.,2,0.5,0.0,0.0,0.430622009569378,0.569377990430622,33,19,0.24880382775119617,0.0
L.,2,0.5,0.0,0.0,0.430622009569378,0.569377990430622,33,19,0.24880382775119617,0.0
