word,word_len,word_upper,word_lower,word_digits,line_symbolic_percent,line_space_percent,line_num_world,line_num_columns,line_front_spaces_perc,line_back_spaces
MNRAS,5,1.0,0.0,0.0,0.3865979381443299,0.6134020618556701,15,31,0.2358974358974359,0.00512820512820511
"000,",4,0.0,0.0,0.75,0.3865979381443299,0.6134020618556701,15,31,0.2358974358974359,0.00512820512820511
1–15,4,0.0,0.0,0.75,0.3865979381443299,0.6134020618556701,15,31,0.2358974358974359,0.00512820512820511
(2020),6,0.0,0.0,0.6666666666666666,0.3865979381443299,0.6134020618556701,15,31,0.2358974358974359,0.00512820512820511
Preprint,8,0.125,0.875,0.0,0.3865979381443299,0.6134020618556701,15,31,0.2358974358974359,0.00512820512820511
6,1,0.0,0.0,1.0,0.3865979381443299,0.6134020618556701,15,31,0.2358974358974359,0.00512820512820511
January,7,0.14285714285714285,0.8571428571428571,0.0,0.3865979381443299,0.6134020618556701,15,31,0.2358974358974359,0.00512820512820511
2021,4,0.0,0.0,1.0,0.3865979381443299,0.6134020618556701,15,31,0.2358974358974359,0.00512820512820511
Compiled,8,0.125,0.875,0.0,0.3865979381443299,0.6134020618556701,15,31,0.2358974358974359,0.00512820512820511
using,5,0.0,1.0,0.0,0.3865979381443299,0.6134020618556701,15,31,0.2358974358974359,0.00512820512820511
MNRAS,5,1.0,0.0,0.0,0.3865979381443299,0.6134020618556701,15,31,0.2358974358974359,0.00512820512820511
LATEX,5,1.0,0.0,0.0,0.3865979381443299,0.6134020618556701,15,31,0.2358974358974359,0.00512820512820511
style,5,0.0,1.0,0.0,0.3865979381443299,0.6134020618556701,15,31,0.2358974358974359,0.00512820512820511
file,4,0.0,1.0,0.0,0.3865979381443299,0.6134020618556701,15,31,0.2358974358974359,0.00512820512820511
v3.0,4,0.0,0.25,0.5,0.3865979381443299,0.6134020618556701,15,31,0.2358974358974359,0.00512820512820511
A,1,1.0,0.0,0.0,0.504424778761062,0.49557522123893805,11,1,0.2358974358974359,0.42051282051282046
multi-band,10,0.0,0.9,0.0,0.504424778761062,0.49557522123893805,11,1,0.2358974358974359,0.42051282051282046
map,3,0.0,1.0,0.0,0.504424778761062,0.49557522123893805,11,1,0.2358974358974359,0.42051282051282046
of,2,0.0,1.0,0.0,0.504424778761062,0.49557522123893805,11,1,0.2358974358974359,0.42051282051282046
the,3,0.0,1.0,0.0,0.504424778761062,0.49557522123893805,11,1,0.2358974358974359,0.42051282051282046
natural,7,0.0,1.0,0.0,0.504424778761062,0.49557522123893805,11,1,0.2358974358974359,0.42051282051282046
night,5,0.0,1.0,0.0,0.504424778761062,0.49557522123893805,11,1,0.2358974358974359,0.42051282051282046
sky,3,0.0,1.0,0.0,0.504424778761062,0.49557522123893805,11,1,0.2358974358974359,0.42051282051282046
brightness,10,0.0,1.0,0.0,0.504424778761062,0.49557522123893805,11,1,0.2358974358974359,0.42051282051282046
including,9,0.0,1.0,0.0,0.504424778761062,0.49557522123893805,11,1,0.2358974358974359,0.42051282051282046
