word,word_len,word_upper,word_lower,word_digits,line_symbolic_percent,line_space_percent,line_num_world,line_num_columns,line_front_spaces_perc,line_back_spaces
Astronomy,9,0.1111111111111111,0.8888888888888888,0.0,0.2857142857142857,0.7142857142857143,8,42,0.16725978647686832,0.32740213523131667
&,1,0.0,0.0,0.0,0.2857142857142857,0.7142857142857143,8,42,0.16725978647686832,0.32740213523131667
Astrophysics,12,0.08333333333333333,0.9166666666666666,0.0,0.2857142857142857,0.7142857142857143,8,42,0.16725978647686832,0.32740213523131667
manuscript,10,0.0,1.0,0.0,0.2857142857142857,0.7142857142857143,8,42,0.16725978647686832,0.32740213523131667
no.,3,0.0,0.6666666666666666,0.0,0.2857142857142857,0.7142857142857143,8,42,0.16725978647686832,0.32740213523131667
dwarfs-poly,11,0.0,0.9090909090909091,0.0,0.2857142857142857,0.7142857142857143,8,42,0.16725978647686832,0.32740213523131667
©ESO,4,0.75,0.0,0.0,0.2857142857142857,0.7142857142857143,8,42,0.16725978647686832,0.32740213523131667
2021,4,0.0,0.0,1.0,0.2857142857142857,0.7142857142857143,8,42,0.16725978647686832,0.32740213523131667
January,7,0.14285714285714285,0.8571428571428571,0.0,0.2222222222222222,0.7777777777777778,3,1,0.16725978647686832,0.7758007117437722
"26,",3,0.0,0.0,0.6666666666666666,0.2222222222222222,0.7777777777777778,3,1,0.16725978647686832,0.7758007117437722
2021,4,0.0,0.0,1.0,0.2222222222222222,0.7777777777777778,3,1,0.16725978647686832,0.7758007117437722
Polytropic,10,0.1,0.9,0.0,0.5089285714285714,0.4910714285714286,9,1,0.16725978647686832,0.6014234875444839
spheres,7,0.0,1.0,0.0,0.5089285714285714,0.4910714285714286,9,1,0.16725978647686832,0.6014234875444839
modelling,9,0.0,1.0,0.0,0.5089285714285714,0.4910714285714286,9,1,0.16725978647686832,0.6014234875444839
dark,4,0.0,1.0,0.0,0.5089285714285714,0.4910714285714286,9,1,0.16725978647686832,0.6014234875444839
