word,word_len,word_upper,word_lower,word_digits,line_symbolic_percent,line_space_percent,line_num_world,line_num_columns,line_front_spaces_perc,line_back_spaces
1,1,0.0,0.0,1.0,0.005076142131979695,0.9949238578680203,1,1,0.8200836820083682,0.17573221757322177
PSF,3,1.0,0.0,0.0,0.45555555555555555,0.5444444444444445,6,1,0.18410041841004185,0.6234309623430963
Estimation,10,0.1,0.9,0.0,0.45555555555555555,0.5444444444444445,6,1,0.18410041841004185,0.6234309623430963
in,2,0.0,1.0,0.0,0.45555555555555555,0.5444444444444445,6,1,0.18410041841004185,0.6234309623430963
Crowded,7,0.14285714285714285,0.8571428571428571,0.0,0.45555555555555555,0.5444444444444445,6,1,0.18410041841004185,0.6234309623430963
Astronomical,12,0.08333333333333333,0.9166666666666666,0.0,0.45555555555555555,0.5444444444444445,6,1,0.18410041841004185,0.6234309623430963
Imagery,7,0.14285714285714285,0.8571428571428571,0.0,0.45555555555555555,0.5444444444444445,6,1,0.18410041841004185,0.6234309623430963
as,2,0.0,1.0,0.0,0.45054945054945056,0.5494505494505495,6,1,0.18828451882845187,0.6192468619246863
a,1,0.0,1.0,0.0,0.45054945054945056,0.5494505494505495,6,1,0.18828451882845187,0.6192468619246863
Convolutional,13,0.07692307692307693,0.9230769230769231,0.0,0.45054945054945056,0.5494505494505495,6,1,0.18828451882845187,0.6192468619246863
Dictionary,10,0.1,0.9,0.0,0.45054945054945056,0.5494505494505495,6,1,0.18828451882845187,0.6192468619246863
Learning,8,0.125,0.875,0.0,0.45054945054945056,0.5494505494505495,6,1,0.18828451882845187,0.6192468619246863
Problem,7,0.14285714285714285,0.8571428571428571,0.0,0.45054945054945056,0.5494505494505495,6,1,0.18828451882845187,0.6192468619246863
Brendt,6,0.16666666666666666,0.8333333333333334,0.0,0.24603174603174602,0.753968253968254,5,1,0.3807531380753138,0.4728033472803347
Wohlberg,8,0.125,0.875,0.0,0.24603174603174602,0.753968253968254,5,1,0.3807531380753138,0.4728033472803347
and,3,0.0,1.0,0.0,0.24603174603174602,0.753968253968254,5,1,0.3807531380753138,0.4728033472803347
Przemek,7,0.14285714285714285,0.8571428571428571,0.0,0.24603174603174602,0.753968253968254,5,1,0.3807531380753138,0.4728033472803347
Wozniak,7,0.14285714285714285,0.8571428571428571,0.0,0.24603174603174602,0.753968253968254,5,1,0.3807531380753138,0.4728033472803347
Abstract—We,11,0.18181818181818182,0.7272727272727273,0.0,0.574585635359116,0.425414364640884,17,9,0.18828451882845187,0.2426778242677824
present,7,0.0,1.0,0.0,0.574585635359116,0.425414364640884,17,9,0.18828451882845187,0.2426778242677824
a,1,0.0,1.0,0.0,0.574585635359116,0.425414364640884,17,9,0.18828451882845187,0.2426778242677824
new,3,0.0,1.0,0.0,0.574585635359116,0.425414364640884,17,9,0.18828451882845187,0.2426778242677824
algorithm,9,0.0,1.0,0.0,0.574585635359116,0.425414364640884,17,9,0.18828451882845187,0.2426778242677824
for,3,0.0,1.0,0.0,0.574585635359116,0.425414364640884,17,9,0.18828451882845187,0.2426778242677824
estimating,10,0.0,1.0,0.0,0.574585635359116,0.425414364640884,17,9,0.18828451882845187,0.2426778242677824
the,3,0.0,1.0,0.0,0.574585635359116,0.425414364640884,17,9,0.18828451882845187,0.2426778242677824
Point,5,0.2,0.8,0.0,0.574585635359116,0.425414364640884,17,9,0.18828451882845187,0.2426778242677824
signal,6,0.0,1.0,0.0,0.574585635359116,0.425414364640884,17,9,0.18828451882845187,0.2426778242677824
from,4,0.0,1.0,0.0,0.574585635359116,0.425414364640884,17,9,0.18828451882845187,0.2426778242677824
multiple,8,0.0,1.0,0.0,0.574585635359116,0.425414364640884,17,9,0.18828451882845187,0.2426778242677824
PSF,3,1.0,0.0,0.0,0.574585635359116,0.425414364640884,17,9,0.18828451882845187,0.2426778242677824
profiles.,9,0.0,0.8888888888888888,0.0,0.574585635359116,0.425414364640884,17,9,0.18828451882845187,0.2426778242677824
This,4,0.25,0.75,0.0,0.574585635359116,0.425414364640884,17,9,0.18828451882845187,0.2426778242677824
situation,9,0.0,1.0,0.0,0.574585635359116,0.425414364640884,17,9,0.18828451882845187,0.2426778242677824
naturally,9,0.0,1.0,0.0,0.574585635359116,0.425414364640884,17,9,0.18828451882845187,0.2426778242677824
Spread,6,0.16666666666666666,0.8333333333333334,0.0,0.5714285714285714,0.4285714285714286,18,11,0.17573221757322174,0.2384937238493724
Function,8,0.125,0.875,0.0,0.5714285714285714,0.4285714285714286,18,11,0.17573221757322174,0.2384937238493724
(PSF),5,0.6,0.0,0.0,0.5714285714285714,0.4285714285714286,18,11,0.17573221757322174,0.2384937238493724
in,2,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,18,11,0.17573221757322174,0.2384937238493724
wide-field,10,0.0,0.9,0.0,0.5714285714285714,0.4285714285714286,18,11,0.17573221757322174,0.2384937238493724
astronomical,12,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,18,11,0.17573221757322174,0.2384937238493724
images,6,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,18,11,0.17573221757322174,0.2384937238493724
with,4,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,18,11,0.17573221757322174,0.2384937238493724
arises,6,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,18,11,0.17573221757322174,0.2384937238493724
in,2,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,18,11,0.17573221757322174,0.2384937238493724
densely,7,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,18,11,0.17573221757322174,0.2384937238493724
populated,9,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,18,11,0.17573221757322174,0.2384937238493724
sky,3,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,18,11,0.17573221757322174,0.2384937238493724
areas,5,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,18,11,0.17573221757322174,0.2384937238493724
and,3,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,18,11,0.17573221757322174,0.2384937238493724
in,2,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,18,11,0.17573221757322174,0.2384937238493724
very,4,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,18,11,0.17573221757322174,0.2384937238493724
wide-field,10,0.0,0.9,0.0,0.5714285714285714,0.4285714285714286,18,11,0.17573221757322174,0.2384937238493724
extreme,7,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,20,10,0.17573221757322174,0.2384937238493724
source,6,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,20,10,0.17573221757322174,0.2384937238493724
crowding.,9,0.0,0.8888888888888888,0.0,0.5714285714285714,0.4285714285714286,20,10,0.17573221757322174,0.2384937238493724
Robust,6,0.16666666666666666,0.8333333333333334,0.0,0.5714285714285714,0.4285714285714286,20,10,0.17573221757322174,0.2384937238493724
and,3,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,20,10,0.17573221757322174,0.2384937238493724
accurate,8,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,20,10,0.17573221757322174,0.2384937238493724
PSF,3,1.0,0.0,0.0,0.5714285714285714,0.4285714285714286,20,10,0.17573221757322174,0.2384937238493724
estimation,10,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,20,10,0.17573221757322174,0.2384937238493724
in,2,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,20,10,0.17573221757322174,0.2384937238493724
imaging,7,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,20,10,0.17573221757322174,0.2384937238493724
that,4,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,20,10,0.17573221757322174,0.2384937238493724
aims,4,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,20,10,0.17573221757322174,0.2384937238493724
to,2,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,20,10,0.17573221757322174,0.2384937238493724
cover,5,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,20,10,0.17573221757322174,0.2384937238493724
as,2,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,20,10,0.17573221757322174,0.2384937238493724
many,4,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,20,10,0.17573221757322174,0.2384937238493724
objects,7,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,20,10,0.17573221757322174,0.2384937238493724
as,2,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,20,10,0.17573221757322174,0.2384937238493724
possible,8,0.0,1.0,0.0,0.5714285714285714,0.4285714285714286,20,10,0.17573221757322174,0.2384937238493724
[10].,5,0.0,0.0,0.4,0.5714285714285714,0.4285714285714286,20,10,0.17573221757322174,0.2384937238493724
crowded,7,0.0,1.0,0.0,0.5384615384615384,0.46153846153846156,7,1,0.17573221757322174,0.5648535564853556
astronomical,12,0.0,1.0,0.0,0.5384615384615384,0.46153846153846156,7,1,0.17573221757322174,0.5648535564853556
images,6,0.0,1.0,0.0,0.5384615384615384,0.46153846153846156,7,1,0.17573221757322174,0.5648535564853556
dramatically,12,0.0,1.0,0.0,0.5384615384615384,0.46153846153846156,7,1,0.17573221757322174,0.5648535564853556
improves,8,0.0,1.0,0.0,0.5384615384615384,0.46153846153846156,7,1,0.17573221757322174,0.5648535564853556
the,3,0.0,1.0,0.0,0.5384615384615384,0.46153846153846156,7,1,0.17573221757322174,0.5648535564853556
fidelity,8,0.0,1.0,0.0,0.5384615384615384,0.46153846153846156,7,1,0.17573221757322174,0.5648535564853556
There,5,0.2,0.8,0.0,0.2681564245810056,0.7318435754189945,10,1,0.5104602510460251,0.2510460251046025
is,2,0.0,1.0,0.0,0.2681564245810056,0.7318435754189945,10,1,0.5104602510460251,0.2510460251046025
a,1,0.0,1.0,0.0,0.2681564245810056,0.7318435754189945,10,1,0.5104602510460251,0.2510460251046025
scarcity,8,0.0,1.0,0.0,0.2681564245810056,0.7318435754189945,10,1,0.5104602510460251,0.2510460251046025
of,2,0.0,1.0,0.0,0.2681564245810056,0.7318435754189945,10,1,0.5104602510460251,0.2510460251046025
algorithms,10,0.0,1.0,0.0,0.2681564245810056,0.7318435754189945,10,1,0.5104602510460251,0.2510460251046025
and,3,0.0,1.0,0.0,0.2681564245810056,0.7318435754189945,10,1,0.5104602510460251,0.2510460251046025
software,8,0.0,1.0,0.0,0.2681564245810056,0.7318435754189945,10,1,0.5104602510460251,0.2510460251046025
tools,5,0.0,1.0,0.0,0.2681564245810056,0.7318435754189945,10,1,0.5104602510460251,0.2510460251046025
that,4,0.0,1.0,0.0,0.2681564245810056,0.7318435754189945,10,1,0.5104602510460251,0.2510460251046025
arXiv:2101.01268v2,18,0.05555555555555555,0.2777777777777778,0.5555555555555556,0.8974358974358975,0.10256410256410253,5,1,0.0,0.8368200836820083
[eess.IV],9,0.2222222222222222,0.4444444444444444,0.0,0.8974358974358975,0.10256410256410253,5,1,0.0,0.8368200836820083
7,1,0.0,0.0,1.0,0.8974358974358975,0.10256410256410253,5,1,0.0,0.8368200836820083
Feb,3,0.3333333333333333,0.6666666666666666,0.0,0.8974358974358975,0.10256410256410253,5,1,0.0,0.8368200836820083
2021,4,0.0,0.0,1.0,0.8974358974358975,0.10256410256410253,5,1,0.0,0.8368200836820083
of,2,0.0,1.0,0.0,0.52,0.48,7,1,0.17573221757322174,0.5815899581589958
astrometric,11,0.0,1.0,0.0,0.52,0.48,7,1,0.17573221757322174,0.5815899581589958
and,3,0.0,1.0,0.0,0.52,0.48,7,1,0.17573221757322174,0.5815899581589958
photometric,11,0.0,1.0,0.0,0.52,0.48,7,1,0.17573221757322174,0.5815899581589958
measurements,12,0.0,1.0,0.0,0.52,0.48,7,1,0.17573221757322174,0.5815899581589958
extracted,9,0.0,1.0,0.0,0.52,0.48,7,1,0.17573221757322174,0.5815899581589958
from,4,0.0,1.0,0.0,0.52,0.48,7,1,0.17573221757322174,0.5815899581589958
wide-field,10,0.0,0.9,0.0,0.585635359116022,0.41436464088397795,16,10,0.17573221757322174,0.2426778242677824
sky,3,0.0,1.0,0.0,0.585635359116022,0.41436464088397795,16,10,0.17573221757322174,0.2426778242677824
monitoring,10,0.0,1.0,0.0,0.585635359116022,0.41436464088397795,16,10,0.17573221757322174,0.2426778242677824
imagery.,8,0.0,0.875,0.0,0.585635359116022,0.41436464088397795,16,10,0.17573221757322174,0.2426778242677824
Our,3,0.3333333333333333,0.6666666666666666,0.0,0.585635359116022,0.41436464088397795,16,10,0.17573221757322174,0.2426778242677824
