word,word_len,word_upper,word_lower,word_digits,line_symbolic_percent,line_space_percent,line_num_world,line_num_columns,line_front_spaces_perc,line_back_spaces
MNRAS,5,1.0,0.0,0.0,0.42857142857142855,0.5714285714285714,15,22,0.2541436464088398,0.03314917127071826
"000,",4,0.0,0.0,0.75,0.42857142857142855,0.5714285714285714,15,22,0.2541436464088398,0.03314917127071826
1–16,4,0.0,0.0,0.75,0.42857142857142855,0.5714285714285714,15,22,0.2541436464088398,0.03314917127071826
(0000),6,0.0,0.0,0.6666666666666666,0.42857142857142855,0.5714285714285714,15,22,0.2541436464088398,0.03314917127071826
Preprint,8,0.125,0.875,0.0,0.42857142857142855,0.5714285714285714,15,22,0.2541436464088398,0.03314917127071826
6,1,0.0,0.0,1.0,0.42857142857142855,0.5714285714285714,15,22,0.2541436464088398,0.03314917127071826
January,7,0.14285714285714285,0.8571428571428571,0.0,0.42857142857142855,0.5714285714285714,15,22,0.2541436464088398,0.03314917127071826
2021,4,0.0,0.0,1.0,0.42857142857142855,0.5714285714285714,15,22,0.2541436464088398,0.03314917127071826
Compiled,8,0.125,0.875,0.0,0.42857142857142855,0.5714285714285714,15,22,0.2541436464088398,0.03314917127071826
using,5,0.0,1.0,0.0,0.42857142857142855,0.5714285714285714,15,22,0.2541436464088398,0.03314917127071826
MNRAS,5,1.0,0.0,0.0,0.42857142857142855,0.5714285714285714,15,22,0.2541436464088398,0.03314917127071826
LATEX,5,1.0,0.0,0.0,0.42857142857142855,0.5714285714285714,15,22,0.2541436464088398,0.03314917127071826
style,5,0.0,1.0,0.0,0.42857142857142855,0.5714285714285714,15,22,0.2541436464088398,0.03314917127071826
file,4,0.0,1.0,0.0,0.42857142857142855,0.5714285714285714,15,22,0.2541436464088398,0.03314917127071826
v3.0,4,0.0,0.25,0.5,0.42857142857142855,0.5714285714285714,15,22,0.2541436464088398,0.03314917127071826
Mass,4,0.25,0.75,0.0,0.4803921568627451,0.5196078431372548,8,1,0.2541436464088398,0.43646408839779005
accretion,9,0.0,1.0,0.0,0.4803921568627451,0.5196078431372548,8,1,0.2541436464088398,0.43646408839779005
rates,5,0.0,1.0,0.0,0.4803921568627451,0.5196078431372548,8,1,0.2541436464088398,0.43646408839779005
and,3,0.0,1.0,0.0,0.4803921568627451,0.5196078431372548,8,1,0.2541436464088398,0.43646408839779005
multi-scale,11,0.0,0.9090909090909091,0.0,0.4803921568627451,0.5196078431372548,8,1,0.2541436464088398,0.43646408839779005
halo,4,0.0,1.0,0.0,0.4803921568627451,0.5196078431372548,8,1,0.2541436464088398,0.43646408839779005
environment,11,0.0,1.0,0.0,0.4803921568627451,0.5196078431372548,8,1,0.2541436464088398,0.43646408839779005
in,2,0.0,1.0,0.0,0.4803921568627451,0.5196078431372548,8,1,0.2541436464088398,0.43646408839779005
cold,4,0.0,1.0,0.0,0.3855421686746988,0.6144578313253012,6,1,0.2541436464088398,0.5414364640883977
and,3,0.0,1.0,0.0,0.3855421686746988,0.6144578313253012,6,1,0.2541436464088398,0.5414364640883977
warm,4,0.0,1.0,0.0,0.3855421686746988,0.6144578313253012,6,1,0.2541436464088398,0.5414364640883977
dark,4,0.0,1.0,0.0,0.3855421686746988,0.6144578313253012,6,1,0.2541436464088398,0.5414364640883977
matter,6,0.0,1.0,0.0,0.3855421686746988,0.6144578313253012,6,1,0.2541436464088398,0.5414364640883977
cosmologies,11,0.0,1.0,0.0,0.3855421686746988,0.6144578313253012,6,1,0.2541436464088398,0.5414364640883977
1,1,0.0,0.0,1.0,0.020833333333333332,0.9791666666666666,1,1,0.2596685082872928,0.7348066298342542
Payaswinee,10,0.1,0.9,0.0,0.38202247191011235,0.6179775280898876,6,1,0.27624309392265195,0.5082872928176796
Dhoke1?,7,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.38202247191011235,0.6179775280898876,6,1,0.27624309392265195,0.5082872928176796
",",1,0.0,0.0,0.0,0.38202247191011235,0.6179775280898876,6,1,0.27624309392265195,0.5082872928176796
Aseem,5,0.2,0.8,0.0,0.38202247191011235,0.6179775280898876,6,1,0.27624309392265195,0.5082872928176796
Paranjape2,10,0.1,0.8,0.1,0.38202247191011235,0.6179775280898876,6,1,0.27624309392265195,0.5082872928176796
†,1,0.0,0.0,0.0,0.38202247191011235,0.6179775280898876,6,1,0.27624309392265195,0.5082872928176796
Dharampeth,10,0.1,0.9,0.0,0.5467625899280576,0.4532374100719424,13,1,0.281767955801105,0.2320441988950276
M.,2,0.5,0.0,0.0,0.5467625899280576,0.4532374100719424,13,1,0.281767955801105,0.2320441988950276
P.,2,0.5,0.0,0.0,0.5467625899280576,0.4532374100719424,13,1,0.281767955801105,0.2320441988950276
Deo,3,0.3333333333333333,0.6666666666666666,0.0,0.5467625899280576,0.4532374100719424,13,1,0.281767955801105,0.2320441988950276
Memorial,8,0.125,0.875,0.0,0.5467625899280576,0.4532374100719424,13,1,0.281767955801105,0.2320441988950276
Science,7,0.14285714285714285,0.8571428571428571,0.0,0.5467625899280576,0.4532374100719424,13,1,0.281767955801105,0.2320441988950276
"College,",8,0.125,0.75,0.0,0.5467625899280576,0.4532374100719424,13,1,0.281767955801105,0.2320441988950276
North,5,0.2,0.8,0.0,0.5467625899280576,0.4532374100719424,13,1,0.281767955801105,0.2320441988950276
Ambazari,8,0.125,0.875,0.0,0.5467625899280576,0.4532374100719424,13,1,0.281767955801105,0.2320441988950276
"Road,",5,0.2,0.6,0.0,0.5467625899280576,0.4532374100719424,13,1,0.281767955801105,0.2320441988950276
Nagpur,6,0.16666666666666666,0.8333333333333334,0.0,0.5467625899280576,0.4532374100719424,13,1,0.281767955801105,0.2320441988950276
"440033,",7,0.0,0.0,0.8571428571428571,0.5467625899280576,0.4532374100719424,13,1,0.281767955801105,0.2320441988950276
India,5,0.2,0.8,0.0,0.5467625899280576,0.4532374100719424,13,1,0.281767955801105,0.2320441988950276
2,1,0.0,0.0,1.0,0.581081081081081,0.41891891891891897,14,2,0.2596685082872928,0.18232044198895025
Inter-University,16,0.125,0.8125,0.0,0.581081081081081,0.41891891891891897,14,2,0.2596685082872928,0.18232044198895025
Centre,6,0.16666666666666666,0.8333333333333334,0.0,0.581081081081081,0.41891891891891897,14,2,0.2596685082872928,0.18232044198895025
for,3,0.0,1.0,0.0,0.581081081081081,0.41891891891891897,14,2,0.2596685082872928,0.18232044198895025
Astronomy,9,0.1111111111111111,0.8888888888888888,0.0,0.581081081081081,0.41891891891891897,14,2,0.2596685082872928,0.18232044198895025
&,1,0.0,0.0,0.0,0.581081081081081,0.41891891891891897,14,2,0.2596685082872928,0.18232044198895025
"Astrophysics,",13,0.07692307692307693,0.8461538461538461,0.0,0.581081081081081,0.41891891891891897,14,2,0.2596685082872928,0.18232044198895025
"Ganeshkhind,",12,0.08333333333333333,0.8333333333333334,0.0,0.581081081081081,0.41891891891891897,14,2,0.2596685082872928,0.18232044198895025
Post,4,0.25,0.75,0.0,0.581081081081081,0.41891891891891897,14,2,0.2596685082872928,0.18232044198895025
Bag,3,0.3333333333333333,0.6666666666666666,0.0,0.581081081081081,0.41891891891891897,14,2,0.2596685082872928,0.18232044198895025
"4,",2,0.0,0.0,0.5,0.581081081081081,0.41891891891891897,14,2,0.2596685082872928,0.18232044198895025
Pune,4,0.25,0.75,0.0,0.581081081081081,0.41891891891891897,14,2,0.2596685082872928,0.18232044198895025
"411007,",7,0.0,0.0,0.8571428571428571,0.581081081081081,0.41891891891891897,14,2,0.2596685082872928,0.18232044198895025
India,5,0.2,0.8,0.0,0.581081081081081,0.41891891891891897,14,2,0.2596685082872928,0.18232044198895025
draft,5,0.0,1.0,0.0,0.09803921568627451,0.9019607843137255,1,1,0.2541436464088398,0.718232044198895
arXiv:2101.01198v1,18,0.05555555555555555,0.2777777777777778,0.5555555555555556,0.9069767441860465,0.09302325581395354,5,1,0.0,0.7624309392265194
[astro-ph.GA],13,0.15384615384615385,0.5384615384615384,0.0,0.9069767441860465,0.09302325581395354,5,1,0.0,0.7624309392265194
4,1,0.0,0.0,1.0,0.9069767441860465,0.09302325581395354,5,1,0.0,0.7624309392265194
Jan,3,0.3333333333333333,0.6666666666666666,0.0,0.9069767441860465,0.09302325581395354,5,1,0.0,0.7624309392265194
2021,4,0.0,0.0,1.0,0.9069767441860465,0.09302325581395354,5,1,0.0,0.7624309392265194
ABSTRACT,8,1.0,0.0,0.0,0.0898876404494382,0.9101123595505618,1,1,0.44751381215469616,0.5082872928176796
We,2,0.5,0.5,0.0,0.422360248447205,0.577639751552795,13,1,0.44751381215469616,0.11049723756906082
study,5,0.0,1.0,0.0,0.422360248447205,0.577639751552795,13,1,0.44751381215469616,0.11049723756906082
the,3,0.0,1.0,0.0,0.422360248447205,0.577639751552795,13,1,0.44751381215469616,0.11049723756906082
evolving,8,0.0,1.0,0.0,0.422360248447205,0.577639751552795,13,1,0.44751381215469616,0.11049723756906082
environment,11,0.0,1.0,0.0,0.422360248447205,0.577639751552795,13,1,0.44751381215469616,0.11049723756906082
dependence,10,0.0,1.0,0.0,0.422360248447205,0.577639751552795,13,1,0.44751381215469616,0.11049723756906082
of,2,0.0,1.0,0.0,0.422360248447205,0.577639751552795,13,1,0.44751381215469616,0.11049723756906082
