word,word_len,word_upper,word_lower,word_digits,line_symbolic_percent,line_space_percent,line_num_world,line_num_columns,line_front_spaces_perc,line_back_spaces
Astronomy,9,0.1111111111111111,0.8888888888888888,0.0,0.2393617021276596,0.7606382978723404,8,46,0.23618090452261306,0.055276381909547756
&,1,0.0,0.0,0.0,0.2393617021276596,0.7606382978723404,8,46,0.23618090452261306,0.055276381909547756
Astrophysics,12,0.08333333333333333,0.9166666666666666,0.0,0.2393617021276596,0.7606382978723404,8,46,0.23618090452261306,0.055276381909547756
manuscript,10,0.0,1.0,0.0,0.2393617021276596,0.7606382978723404,8,46,0.23618090452261306,0.055276381909547756
no.,3,0.0,0.6666666666666666,0.0,0.2393617021276596,0.7606382978723404,8,46,0.23618090452261306,0.055276381909547756
ms,2,0.0,1.0,0.0,0.2393617021276596,0.7606382978723404,8,46,0.23618090452261306,0.055276381909547756
©ESO,4,0.75,0.0,0.0,0.2393617021276596,0.7606382978723404,8,46,0.23618090452261306,0.055276381909547756
2021,4,0.0,0.0,1.0,0.2393617021276596,0.7606382978723404,8,46,0.23618090452261306,0.055276381909547756
May,3,0.3333333333333333,0.6666666666666666,0.0,0.1694915254237288,0.8305084745762712,3,1,0.23618090452261306,0.7035175879396984
"25,",3,0.0,0.0,0.6666666666666666,0.1694915254237288,0.8305084745762712,3,1,0.23618090452261306,0.7035175879396984
2021,4,0.0,0.0,1.0,0.1694915254237288,0.8305084745762712,3,1,0.23618090452261306,0.7035175879396984
Multiepoch,10,0.1,0.9,0.0,0.4473684210526316,0.5526315789473684,7,1,0.2864321608040201,0.42713567839195976
VLT,3,1.0,0.0,0.0,0.4473684210526316,0.5526315789473684,7,1,0.2864321608040201,0.42713567839195976
−,1,0.0,0.0,0.0,0.4473684210526316,0.5526315789473684,7,1,0.2864321608040201,0.42713567839195976
FORS,4,1.0,0.0,0.0,0.4473684210526316,0.5526315789473684,7,1,0.2864321608040201,0.42713567839195976
spectropolarimetric,19,0.0,1.0,0.0,0.4473684210526316,0.5526315789473684,7,1,0.2864321608040201,0.42713567839195976
observations,12,0.0,1.0,0.0,0.4473684210526316,0.5526315789473684,7,1,0.2864321608040201,0.42713567839195976
of,2,0.0,1.0,0.0,0.4473684210526316,0.5526315789473684,7,1,0.2864321608040201,0.42713567839195976
supernova,9,0.0,1.0,0.0,0.3888888888888889,0.6111111111111112,6,1,0.3065326633165829,0.457286432160804
2012aw,6,0.0,0.3333333333333333,0.6666666666666666,0.3888888888888889,0.6111111111111112,6,1,0.3065326633165829,0.457286432160804
reveal,6,0.0,1.0,0.0,0.3888888888888889,0.6111111111111112,6,1,0.3065326633165829,0.457286432160804
an,2,0.0,1.0,0.0,0.3888888888888889,0.6111111111111112,6,1,0.3065326633165829,0.457286432160804
asymmetric,10,0.0,1.0,0.0,0.3888888888888889,0.6111111111111112,6,1,0.3065326633165829,0.457286432160804
explosion,9,0.0,1.0,0.0,0.3888888888888889,0.6111111111111112,6,1,0.3065326633165829,0.457286432160804
Luc,3,0.3333333333333333,0.6666666666666666,0.0,0.4342105263157895,0.5657894736842105,15,1,0.36180904522613067,0.2361809045226131
Dessart1,8,0.125,0.75,0.125,0.4342105263157895,0.5657894736842105,15,1,0.36180904522613067,0.2361809045226131
",",1,0.0,0.0,0.0,0.4342105263157895,0.5657894736842105,15,1,0.36180904522613067,0.2361809045226131
Douglas,7,0.14285714285714285,0.8571428571428571,0.0,0.4342105263157895,0.5657894736842105,15,1,0.36180904522613067,0.2361809045226131
C.,2,0.5,0.0,0.0,0.4342105263157895,0.5657894736842105,15,1,0.36180904522613067,0.2361809045226131
Leonard2,8,0.125,0.75,0.125,0.4342105263157895,0.5657894736842105,15,1,0.36180904522613067,0.2361809045226131
",",1,0.0,0.0,0.0,0.4342105263157895,0.5657894736842105,15,1,0.36180904522613067,0.2361809045226131
D.,2,0.5,0.0,0.0,0.4342105263157895,0.5657894736842105,15,1,0.36180904522613067,0.2361809045226131
John,4,0.25,0.75,0.0,0.4342105263157895,0.5657894736842105,15,1,0.36180904522613067,0.2361809045226131
Hillier3,8,0.125,0.75,0.125,0.4342105263157895,0.5657894736842105,15,1,0.36180904522613067,0.2361809045226131
",",1,0.0,0.0,0.0,0.4342105263157895,0.5657894736842105,15,1,0.36180904522613067,0.2361809045226131
and,3,0.0,1.0,0.0,0.4342105263157895,0.5657894736842105,15,1,0.36180904522613067,0.2361809045226131
Giuliano,8,0.125,0.875,0.0,0.4342105263157895,0.5657894736842105,15,1,0.36180904522613067,0.2361809045226131
"Pignata4,",9,0.1111111111111111,0.6666666666666666,0.1111111111111111,0.4342105263157895,0.5657894736842105,15,1,0.36180904522613067,0.2361809045226131
5,1,0.0,0.0,1.0,0.4342105263157895,0.5657894736842105,15,1,0.36180904522613067,0.2361809045226131
1,1,0.0,0.0,1.0,0.018518518518518517,0.9814814814814815,1,1,0.2663316582914573,0.728643216080402
