text,fonts-size,fonts-type,fonts-style,base_str_len,max_str_len
,5,Times-Roman,,0,0
"1
2
0
2",10,Times-Roman,,7,1
,5,Times-Roman,,0,0
y,10,Times-Roman,,1,1
a,8,Times-Roman,,1,1
M,17,Times-Roman,,1,1
7,10,Times-Roman,,1,1
2,10,Times-Roman,,1,1
,5,Times-Roman,,0,0
],6,Times-Roman,,1,1
E,12,Times-Roman,,1,1
H,14,Times-Roman,,1,1
.,5,Times-Roman,,1,1
"h
p",10,Times-Roman,,3,1
-,6,Times-Roman,,1,1
o,10,Times-Roman,,1,1
r,6,Times-Roman,,1,1
t,5,Times-Roman,,1,1
s,7,Times-Roman,,1,1
a,8,Times-Roman,,1,1
[,6,Times-Roman,,1,1
,5,Times-Roman,,0,0
"2
v
0
1
6
0
0",10,Times-Roman,,13,1
.,5,Times-Roman,,1,1
"1
0
1",10,Times-Roman,,5,1
2,10,Times-Roman,,1,1
:,5,Times-Roman,,1,1
v,10,Times-Roman,,1,1
i,5,Times-Roman,,1,1
X,14,Times-Roman,,1,1
r,6,Times-Roman,,1,1
a,8,Times-Roman,,1,1
Search for GeV Neutrino Emission During Intense Gamma-Ray,14,CMBX12,,57,57
Solar Flares with the IceCube Neutrino Observatory,14,CMBX12,,50,50
"R. Abbasi,",11,CMR12,,10,10
17,7,CMR8,,2,2
"M. Ackermann,",11,CMR12,,13,13
57,7,CMR8,,2,2
"J. Adams,",11,CMR12,,9,9
18,7,CMR8,,2,2
"J. A. Aguilar,",11,CMR12,,14,14
12,7,CMR8,,2,2
"M. Ahlers,",11,CMR12,,10,10
22,7,CMR8,,2,2
"M. Ahrens,",11,CMR12,,10,10
48,7,CMR8,,2,2
C.,11,CMR12,,2,2
"Alispach,",11,CMR12,,9,9
28,7,CMR8,,2,2
"A. A. Alves Jr.,",11,CMR12,,16,16
31,7,CMR8,,2,2
"N. M. Amin,",11,CMR12,,11,11
41,7,CMR8,,2,2
"R. An,",11,CMR12,,6,6
14,7,CMR8,,2,2
"K. Andeen,",11,CMR12,,10,10
39,7,CMR8,,2,2
"T. Anderson,",11,CMR12,,12,12
54,7,CMR8,,2,2
I.,11,CMR12,,2,2
"Ansseau,",11,CMR12,,8,8
12,7,CMR8,,2,2
"G. Anton,",11,CMR12,,9,9
26,7,CMR8,,2,2
"C. Arg¨uelles,",11,CMR12,,14,14
14,7,CMR8,,2,2
"S. Axani,",11,CMR12,,9,9
15,7,CMR8,,2,2
